ingredient,function,category,sensitive_score,oily_score,dry_score,combination_score,normal_score,risk_level,benefits,concerns,sensitive_risk,oily_risk,dry_risk,combination_risk,normal_risk
Citric Acid,pH Adjuster,Exfoliant,6,8,7,8,8,Low,Exfoliation|Brightening|Antioxidant,Irritation Risk,Moderate,Low,Low,Low,Low
Gluconolactone,Exfoliant,Exfoliant,8,8,8,8,9,Low,Exfoliation|Antioxidant|Hydration,Photosensitivity,Low,Low,Low,Low,Low
Lactobionic Acid,Exfoliant,Exfoliant,8,8,8,8,9,Low,Exfoliation|Antioxidant|Hydration,Photosensitivity,Low,Low,Low,Low,Low
Vitamin E (Tocopherol),Antioxidant,Antioxidant,8,6,9,7,8,Low,Antioxidant|Barrier Repair|Skin Recovery,Comedogenic Risk,Low,Moderate,Low,Low,Low
Ferulic Acid,Antioxidant,Antioxidant,8,8,8,8,9,Low,Antioxidant|Anti-Aging|Brightening,None,Low,Low,Low,Low,Low
Resveratrol,Antioxidant,Antioxidant,9,8,8,9,9,Low,Antioxidant|Anti-Aging,None,Low,Low,Low,Low,Low
Coenzyme Q10,Antioxidant,Antioxidant,9,8,8,8,9,Low,Antioxidant|Anti-Aging|Skin Recovery,None,Low,Low,Low,Low,Low
Astaxanthin,Antioxidant,Antioxidant,9,8,8,9,9,Low,Antioxidant|Anti-Aging|Anti-Inflammatory,None,Low,Low,Low,Low,Low
Glutathione,Brightening,Antioxidant,8,8,8,8,9,Low,Brightening|Antioxidant|Pigmentation Reduction,None,Low,Low,Low,Low,Low
Idebenone,Antioxidant,Antioxidant,8,8,8,8,9,Low,Antioxidant|Anti-Aging,None,Low,Low,Low,Low,Low
Vitamin A Palmitate,Antioxidant,Antioxidant,6,7,8,7,8,Low,Antioxidant|Anti-Aging,Photosensitivity,Low,Low,Low,Low,Low
Zinc PCA,Oil Control,Active,8,10,6,9,8,Low,Oil Control|Acne Support|Pore Care,None,Low,Low,Low,Low,Low
Zinc Oxide,Sunscreen,Active,9,8,7,8,9,Low,Anti-Inflammatory|Redness Reduction,None,Low,Low,Low,Low,Low
Titanium Dioxide,Sunscreen,Active,9,7,7,8,8,Low,Barrier Repair,None,Low,Low,Low,Low,Low
Copper Peptide,Anti-Aging,Active,7,8,8,8,8,Low,Anti-Aging|Skin Recovery|Barrier Repair,Sensitivity Trigger,Moderate,Low,Low,Low,Low
Argireline,Anti-Aging,Active,8,8,8,8,8,Low,Anti-Aging,None,Low,Low,Low,Low,Low
Matrixyl 3000,Anti-Aging,Active,8,8,8,8,8,Low,Anti-Aging|Skin Recovery,None,Low,Low,Low,Low,Low
Palmitoyl Pentapeptide-4,Anti-Aging,Active,8,8,8,8,8,Low,Anti-Aging|Skin Recovery,None,Low,Low,Low,Low,Low
Epidermal Growth Factor (EGF),Cell Renewal,Active,6,8,8,8,8,Moderate,Skin Recovery|Anti-Aging,Sensitivity Trigger,Moderate,Low,Low,Low,Low
Idebenone Peptide,Antioxidant,Active,8,8,8,8,9,Low,Antioxidant|Anti-Aging,None,Low,Low,Low,Low,Low
Hexylresorcinol,Brightening,Active,6,8,7,7,8,Moderate,Brightening|Pigmentation Reduction|Antioxidant,Irritation Risk,Moderate,Low,Moderate,Low,Low
Willow Bark Extract,Exfoliant,Botanical Extract,4,8,5,7,7,Moderate,Exfoliation|Acne Support,Irritation Risk|Sensitivity Trigger,High,Low,High,Moderate,Low
Oligopeptide-1,Cell Renewal,Active,7,8,8,8,8,Low,Skin Recovery|Anti-Aging,None,Low,Low,Low,Low,Low
Phenoxyethanol,Preservative,Preservative,6,7,7,7,7,Low,None,Sensitivity Trigger,Moderate,Low,Low,Low,Low
Ethylhexylglycerin,Preservative,Preservative,7,7,7,7,8,Low,None,Sensitivity Trigger,Moderate,Low,Low,Low,Low
Sodium Benzoate,Preservative,Preservative,6,7,6,7,7,Low,None,Sensitivity Trigger,Moderate,Low,Low,Low,Low
Potassium Sorbate,Preservative,Preservative,7,7,7,7,8,Low,None,None,Low,Low,Low,Low,Low
Caprylyl Glycol,Preservative,Preservative,7,7,7,7,8,Low,Hydration,None,Low,Low,Low,Low,Low
Benzyl Alcohol,Preservative,Preservative,5,6,6,6,7,Moderate,None,Sensitivity Trigger|Irritation Risk,High,Low,Moderate,Low,Low
Fragrance,Fragrance,Irritant,1,5,5,5,5,High,None,Irritation Risk|Sensitivity Trigger,High,High,High,High,High
Menthol,Cooling Agent,Irritant,1,5,4,4,5,High,None,Irritation Risk|Sensitivity Trigger,High,High,High,High,High
Alcohol Denat,Astringent,Irritant,1,7,2,4,5,High,Oil Control,Irritation Risk|Dryness Risk|Sensitivity Trigger,High,Moderate,High,Moderate,Moderate
Eucalyptus Oil,Fragrance,Irritant,1,5,4,4,5,High,None,Irritation Risk|Sensitivity Trigger,High,High,High,High,High
Peppermint Oil,Fragrance,Irritant,1,5,4,4,5,High,None,Irritation Risk|Sensitivity Trigger,High,High,High,High,High
Limonene,Fragrance,Irritant,2,5,5,5,5,High,None,Irritation Risk|Sensitivity Trigger,High,High,High,High,High
Linalool,Fragrance,Irritant,2,5,5,5,5,High,None,Irritation Risk|Sensitivity Trigger,High,High,High,High,High
Witch Hazel,Astringent,Irritant,3,7,4,6,6,Moderate,Oil Control|Pore Care,Irritation Risk|Dryness Risk,High,Low,High,Moderate,Low
Tea Tree Oil,Antibacterial,Botanical Extract,3,8,4,7,6,Moderate,Acne Support|Oil Control,Irritation Risk|Sensitivity Trigger,High,Low,High,Moderate,Low
Lavender Oil,Fragrance,Irritant,3,5,5,5,6,Moderate,Soothing,Irritation Risk|Sensitivity Trigger,High,Moderate,Moderate,Moderate,Low
Clary Sage Oil,Fragrance,Irritant,2,5,5,5,5,High,None,Irritation Risk|Sensitivity Trigger,High,High,High,High,High
Geranium Oil,Fragrance,Irritant,2,5,5,5,5,High,None,Irritation Risk|Sensitivity Trigger,High,High,High,High,High
Ylang Ylang Oil,Fragrance,Irritant,1,4,4,4,5,High,None,Irritation Risk|Sensitivity Trigger,High,High,High,High,High
Citrus Oil,Fragrance,Irritant,2,5,5,5,5,High,None,Irritation Risk|Sensitivity Trigger|Photosensitivity,High,High,High,High,High
Clove Oil,Fragrance,Irritant,1,4,3,3,4,High,None,Irritation Risk|Sensitivity Trigger,High,High,High,High,High
Cinnamon Extract,Fragrance,Irritant,1,4,3,3,4,High,None,Irritation Risk|Sensitivity Trigger,High,High,High,High,High
Cinnamal,Fragrance,Irritant,1,4,3,3,4,High,None,Irritation Risk|Sensitivity Trigger,High,High,High,High,High
Geraniol,Fragrance,Irritant,2,4,4,4,5,High,None,Irritation Risk|Sensitivity Trigger,High,High,High,High,High
Hydroxycitronellal,Fragrance,Irritant,2,4,4,4,5,High,None,Irritation Risk|Sensitivity Trigger,High,High,High,High,High
Isoeugenol,Fragrance,Irritant,1,4,3,3,4,High,None,Irritation Risk|Sensitivity Trigger,High,High,High,High,High
Coumarin,Fragrance,Irritant,2,4,4,4,5,High,None,Irritation Risk|Sensitivity Trigger,High,High,High,High,High
Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde,Fragrance,Irritant,1,4,3,3,4,High,None,Irritation Risk|Sensitivity Trigger,High,High,High,High,High
Butyl Methoxydibenzoy lmethane,UV Filter,Active,5,7,6,7,7,Moderate,None,Photosensitivity|Sensitivity Trigger,Moderate,Low,Low,Low,Low
Octinoxate,UV Filter,Active,5,7,6,7,7,Moderate,None,Photosensitivity|Sensitivity Trigger,Moderate,Low,Low,Low,Low
Oxybenzone,UV Filter,Active,3,6,5,6,6,High,None,Sensitivity Trigger|Irritation Risk,High,Moderate,Moderate,Moderate,Moderate
Octocrylene,UV Filter,Active,5,7,6,7,7,Moderate,None,Sensitivity Trigger,Moderate,Low,Low,Low,Low
Avobenzone,UV Filter,Active,5,7,6,7,7,Moderate,None,Photosensitivity|Sensitivity Trigger,Moderate,Low,Low,Low,Low
Xanthan Gum,Thickener,Excipient,9,8,8,9,9,Low,None,None,Low,Low,Low,Low,Low
Carbomer,Thickener,Excipient,8,8,8,8,8,Low,None,None,Low,Low,Low,Low,Low
Hydroxyethylcellulose,Thickener,Excipient,9,8,8,9,9,Low,None,None,Low,Low,Low,Low,Low
Polyacrylate Crosspolymer,Thickener,Excipient,8,8,8,8,8,Low,None,None,Low,Low,Low,Low,Low
Cellulose Gum,Thickener,Excipient,9,8,8,9,9,Low,None,None,Low,Low,Low,Low,Low
Propylene Glycol,Humectant,Humectant,5,7,7,7,7,Moderate,Hydration|Moisture Retention,Sensitivity Trigger|Irritation Risk,Moderate,Low,Low,Low,Low
Butylene Glycol,Humectant,Humectant,8,8,8,9,9,Low,Hydration|Moisture Retention,None,Low,Low,Low,Low,Low
Pentylene Glycol,Humectant,Humectant,8,8,8,9,9,Low,Hydration|Moisture Retention,None,Low,Low,Low,Low,Low
Caprylyl/Capryl Glucoside,Surfactant,Excipient,8,8,7,8,8,Low,None,None,Low,Low,Low,Low,Low
Decyl Glucoside,Surfactant,Excipient,8,8,7,8,8,Low,None,None,Low,Low,Low,Low,Low
Lauryl Glucoside,Surfactant,Excipient,7,8,7,8,8,Low,None,None,Low,Low,Low,Low,Low
Polysorbate 20,Emulsifier,Excipient,8,7,7,8,8,Low,None,None,Low,Low,Low,Low,Low
Polysorbate 80,Emulsifier,Excipient,7,7,7,7,7,Low,None,None,Low,Low,Low,Low,Low
Lecithin,Emulsifier,Excipient,8,7,8,8,8,Low,Barrier Repair,None,Low,Low,Low,Low,Low
Sodium Lauryl Sulfate,Surfactant,Irritant,2,6,3,5,5,High,None,Irritation Risk|Dryness Risk|Sensitivity Trigger,High,Moderate,High,Moderate,Moderate
Sodium Laureth Sulfate,Surfactant,Irritant,3,7,4,6,6,Moderate,None,Irritation Risk|Dryness Risk,High,Low,High,Moderate,Low
Cocamidopropyl Betaine,Surfactant,Excipient,6,8,6,7,7,Low,None,Sensitivity Trigger,Moderate,Low,Low,Low,Low
Disodium EDTA,Chelating Agent,Excipient,8,7,7,7,8,Low,None,None,Low,Low,Low,Low,Low
Tocopheryl Acetate,Antioxidant,Antioxidant,8,7,8,7,8,Low,Antioxidant|Skin Recovery,None,Low,Low,Low,Low,Low
Niacinamide (10%+),Brightening,Active,5,9,6,8,7,Moderate,Brightening|Oil Control|Pore Care,Irritation Risk,High,Low,Moderate,Low,Low
Polyglutamic Acid,Humectant,Humectant,10,9,10,10,10,Low,Hydration|Moisture Retention|Barrier Repair,None,Low,Low,Low,Low,Low
Tremella Mushroom Extract,Humectant,Botanical Extract,9,8,10,9,9,Low,Hydration|Antioxidant,None,Low,Low,Low,Low,Low
Galactomyces Ferment Filtrate,Brightening,Ferment,8,9,8,9,9,Low,Brightening|Barrier Repair|Oil Control,None,Low,Low,Low,Low,Low
Bifida Ferment Lysate,Barrier Repair,Ferment,9,8,9,9,9,Low,Barrier Repair|Soothing|Anti-Aging,None,Low,Low,Low,Low,Low
Lactobacillus Ferment,Barrier Repair,Ferment,9,8,9,9,9,Low,Barrier Repair|Soothing,None,Low,Low,Low,Low,Low
Saccharomyces Ferment,Brightening,Ferment,8,9,8,8,9,Low,Brightening|Antioxidant|Barrier Repair,None,Low,Low,Low,Low,Low
Pitera (SK-II Galactomyces),Brightening,Ferment,8,9,8,9,9,Low,Brightening|Barrier Repair|Hydration,None,Low,Low,Low,Low,Low
Bacillus Ferment,Exfoliant,Ferment,6,8,7,8,8,Low,Exfoliation|Skin Recovery,None,Low,Low,Low,Low,Low
Sodium Lactate,Humectant,Humectant,9,8,9,9,9,Low,Hydration|Exfoliation,None,Low,Low,Low,Low,Low
Amino Acids,Humectant,Humectant,10,8,10,9,9,Low,Hydration|Barrier Repair|Skin Recovery,None,Low,Low,Low,Low,Low
Hydrolyzed Collagen,Anti-Aging,Humectant,9,7,10,8,9,Low,Anti-Aging|Hydration|Barrier Repair,None,Low,Low,Low,Low,Low
Hydrolyzed Elastin,Anti-Aging,Humectant,9,7,10,8,9,Low,Anti-Aging|Hydration,None,Low,Low,Low,Low,Low
Hydrolyzed Keratin,Barrier Repair,Excipient,9,7,9,8,9,Low,Barrier Repair|Hydration,None,Low,Low,Low,Low,Low
Hydrolyzed Wheat Protein,Barrier Repair,Excipient,8,7,9,8,8,Low,Barrier Repair|Hydration,Sensitivity Trigger,Moderate,Low,Low,Low,Low
Hydrolyzed Oat Protein,Soothing,Excipient,9,7,9,9,9,Low,Soothing|Barrier Repair|Hydration,None,Low,Low,Low,Low,Low
Rice Extract,Brightening,Botanical Extract,9,8,8,9,9,Low,Brightening|Antioxidant,None,Low,Low,Low,Low,Low
Mulberry Extract,Brightening,Botanical Extract,8,8,8,8,9,Low,Brightening|Pigmentation Reduction|Antioxidant,None,Low,Low,Low,Low,Low
Bearberry Extract,Brightening,Botanical Extract,7,8,7,8,8,Low,Brightening|Pigmentation Reduction,Irritation Risk,Moderate,Low,Low,Low,Low
Malachite Extract,Antioxidant,Botanical Extract,8,8,8,8,9,Low,Antioxidant|Barrier Repair,None,Low,Low,Low,Low,Low
Sea Daffodil Extract,Brightening,Botanical Extract,8,8,8,8,8,Low,Brightening|Pigmentation Reduction,None,Low,Low,Low,Low,Low
Phytic Acid,Brightening,Exfoliant,6,8,6,7,7,Moderate,Brightening|Exfoliation|Antioxidant,Irritation Risk,Moderate,Low,Moderate,Low,Low
Glucuronic Acid,Exfoliant,Exfoliant,7,8,7,8,8,Low,Exfoliation|Brightening,Photosensitivity,Low,Low,Low,Low,Low
Polyhydroxy Acid (PHA),Exfoliant,Exfoliant,8,8,8,8,9,Low,Exfoliation|Hydration|Antioxidant,Photosensitivity,Low,Low,Low,Low,Low
Adenosine,Anti-Aging,Active,9,8,8,9,9,Low,Anti-Aging|Redness Reduction|Soothing,None,Low,Low,Low,Low,Low
Epigallocatechin Gallate (EGCG),Antioxidant,Antioxidant,9,9,8,9,9,Low,Antioxidant|Anti-Inflammatory|Oil Control,None,Low,Low,Low,Low,Low
Caffeine,Antioxidant,Active,7,9,6,8,8,Low,Antioxidant|Oil Control|Pore Care,None,Low,Low,Low,Low,Low
Neem Extract,Antibacterial,Botanical Extract,5,8,6,7,7,Moderate,Acne Support|Oil Control,Irritation Risk|Sensitivity Trigger,High,Low,Moderate,Low,Low
Propolis Extract,Antibacterial,Botanical Extract,7,8,7,8,8,Moderate,Acne Support|Antioxidant|Soothing,Sensitivity Trigger,Moderate,Low,Low,Low,Low
Honey Extract,Humectant,Botanical Extract,8,7,9,8,8,Low,Hydration|Soothing|Antioxidant,None,Low,Low,Low,Low,Low
Royal Jelly Extract,Anti-Aging,Botanical Extract,7,7,8,8,8,Moderate,Anti-Aging|Hydration|Skin Recovery,Sensitivity Trigger,Moderate,Low,Low,Low,Low
Snail Secretion Filtrate,Repair,Active,8,8,9,9,9,Low,Skin Recovery|Anti-Aging|Hydration|Barrier Repair,Sensitivity Trigger,Moderate,Low,Low,Low,Low
Colloidal Oatmeal,Soothing,Soothing Agent,10,7,9,9,9,Low,Soothing|Anti-Inflammatory|Barrier Repair|Redness Reduction,None,Low,Low,Low,Low,Low
Kaolin,Absorbent,Clay,7,10,3,7,7,Low,Oil Control|Pore Care,Dryness Risk,Low,Low,High,Moderate,Low
Bentonite,Absorbent,Clay,6,10,3,7,7,Low,Oil Control|Pore Care,Dryness Risk,Low,Low,High,Moderate,Low
French Green Clay,Absorbent,Clay,5,10,2,6,7,Low,Oil Control|Pore Care,Dryness Risk,Moderate,Low,High,Moderate,Low
Fuller's Earth,Absorbent,Clay,5,10,2,6,7,Moderate,Oil Control|Pore Care,Dryness Risk|Irritation Risk,Moderate,Low,High,Moderate,Low
Charcoal,Absorbent,Active,5,9,4,7,7,Low,Oil Control|Pore Care|Acne Support,Dryness Risk,Low,Low,Moderate,Low,Low
Sulfur,Antibacterial,Active,3,9,3,6,6,Moderate,Acne Support|Oil Control,Irritation Risk|Dryness Risk,High,Low,High,Moderate,Moderate
Zinc Sulfate,Astringent,Active,5,8,5,7,7,Moderate,Acne Support|Oil Control,Irritation Risk,Moderate,Low,Moderate,Low,Low
Linoleic Acid,Barrier Repair,Emollient,9,8,9,9,9,Low,Barrier Repair|Anti-Inflammatory|Hydration,None,Low,Low,Low,Low,Low
Oleic Acid,Emollient,Emollient,6,5,9,6,7,Low,Hydration|Barrier Repair,Comedogenic Risk,Low,Moderate,Low,Low,Low
Stearic Acid,Emollient,Emollient,7,5,8,6,7,Low,Barrier Repair|Hydration,Comedogenic Risk,Low,Moderate,Low,Low,Low
Palmitic Acid,Emollient,Emollient,7,5,8,6,7,Low,Barrier Repair|Hydration,Comedogenic Risk,Low,Moderate,Low,Low,Low
